iter	Passed	Remaining
406	4939	7196
407	4949	7181
408	4960	7167
409	4970	7152
410	4981	7138
411	4993	7126
412	5004	7112
413	5013	7096
414	5024	7083
415	5035	7068
416	5045	7053
417	5056	7040
418	5066	7024
419	5076	7009
420	5087	6996
421	5097	6982
422	5108	6967
423	5118	6953
424	5128	6938
425	5139	6925
426	5151	6912
427	5161	6897
428	5171	6883
429	5180	6867
430	5193	6856
431	5206	6846
432	5220	6836
433	5234	6825
434	5246	6814
435	5261	6805
436	5275	6796
437	5288	6785
438	5299	6772
439	5310	6759
440	5321	6745
441	5332	6731
442	5342	6717
443	5353	6704
444	5364	6690
445	5374	6675
446	5384	6661
447	5394	6646
448	5405	6633
449	5416	6620
450	5426	6606
451	5438	6592
452	5448	6579
453	5458	6564
454	5469	6551
455	5480	6538
456	5490	6523
457	5500	6509
458	5511	6496
459	5521	6482
460	5532	6468
461	5543	6455
462	5553	6440
463	5563	6427
464	5574	6413
465	5584	6399
466	5594	6385
467	5604	6371
468	5615	6357
469	5625	6344
470	5636	6330
471	5648	6318
472	5658	6304
473	5670	6292
474	5682	6281
475	5694	6269
476	5708	6258
477	5719	6246
478	5733	6236
479	5747	6226
480	5758	6213
481	5767	6198
482	5778	6185
483	5789	6172
484	5800	6158
485	5810	6145
486	5821	6132
487	5832	6119
488	5842	6105
489	5853	6092
490	5863	6078
491	5874	6065
492	5884	6051
493	5895	6038
494	5906	6025
495	5916	6011
496	5927	5999
497	5937	5985
498	5947	5971
499	5958	5958
500	5970	5946
501	5980	5932
502	5991	5919
503	6001	5906
504	6011	5892
505	6024	5881
506	6035	5868
507	6046	5855
508	6056	5842
509	6066	5828
510	6077	5815
511	6087	5802
512	6097	5788
513	6108	5775
514	6120	5763
515	6132	5751
516	6144	5740
517	6157	5729
518	6169	5718
519	6182	5706
520	6195	5696
521	6210	5687
522	6225	5677
523	6237	5665
524	6249	5654
525	6259	5640
526	6270	5628
527	6281	5615
528	6292	5602
529	6303	5589
530	6313	5576
531	6324	5563
532	6334	5550
533	6344	5536
534	6356	5524
535	6366	5511
536	6377	5498
537	6388	5485
538	6398	5472
539	6408	5458
540	6419	5446
541	6429	5432
542	6440	5420
543	6451	5407
544	6462	5395
545	6472	5382
546	6482	5368
547	6492	5355
548	6503	5342
549	6514	5329
550	6524	5316
551	6535	5303
552	6546	5291
553	6556	5278
554	6567	5265
555	6577	5252
556	6587	5239
557	6598	5226
558	6610	5215
559	6622	5203
560	6635	5192
561	6648	5181
562	6663	5171
563	6676	5161
564	6688	5149
565	6700	5138
566	6711	5125
567	6721	5112
568	6733	5100
569	6743	5087
570	6753	5074
571	6765	5062
572	6775	5049
573	6787	5037
574	6797	5024
575	6807	5011
576	6818	4998
577	6829	4985
578	6839	4973
579	6850	4960
580	6861	4948
581	6871	4935
582	6883	4923
583	6894	4911
584	6904	4898
585	6914	4885
586	6925	4872
587	6934	4859
588	6946	4847
589	6957	4834
590	6967	4821
591	6979	4809
592	6989	4797
593	6999	4784
594	7010	4771
595	7020	4759
596	7030	4745
597	7040	4733
598	7050	4720
599	7061	4707
600	7073	4695
601	7086	4685
602	7097	4672
603	7111	4662
604	7125	4652
605	7137	4640
606	7149	4628
607	7161	4617
608	7173	4605
609	7185	4594
610	7196	4581
611	7208	4570
612	7220	4558
613	7231	4546
614	7242	4533
615	7254	4522
616	7265	4510
617	7277	4498
618	7288	4486
619	7300	4474
620	7310	4461
621	7321	4449
622	7331	4436
623	7342	4424
624	7354	4412
625	7365	4400
626	7376	4388
627	7388	4376
628	7400	4365
629	7410	4352
630	7423	4340
631	7435	4329
632	7445	4316
633	7456	4304
634	7467	4292
635	7478	4280
636	7490	4268
637	7502	4256
638	7514	4245
639	7525	4232
640	7536	4220
641	7551	4210
642	7564	4199
643	7576	4188
644	7590	4177
645	7605	4167
646	7620	4157
647	7635	4147
648	7649	4137
649	7661	4125
650	7672	4113
651	7685	4101
652	7696	4089
653	7707	4077
654	7719	4065
655	7731	4054
656	7743	4042
657	7755	4030
658	7767	4019
659	7779	4007
660	7790	3995
661	7802	3983
662	7815	3972
663	7826	3960
664	7840	3949
665	7853	3938
666	7866	3927
667	7877	3915
668	7888	3903
669	7900	3891
670	7913	3879
671	7924	3868
672	7935	3855
673	7947	3844
674	7959	3832
675	7970	3820
676	7982	3808
677	7993	3796
678	8005	3784
679	8016	3772
680	8028	3760
681	8043	3750
682	8056	3739
683	8069	3727
684	8084	3717
685	8101	3708
686	8114	3697
687	8127	3685
688	8139	3673
689	8149	3661
690	8160	3649
691	8170	3636
692	8180	3624
693	8191	3611
694	8200	3598
695	8211	3586
696	8223	3574
697	8233	3562
698	8245	3550
699	8255	3538
700	8266	3525
701	8276	3513
702	8287	3501
703	8297	3488
